net,length_um
_06436_,190.52
_07560_,190.52
clknet_5_1__leaf_clk,190.51
_08180_,190.49
_05565_,190.48
_05204_,190.46
_05563_,190.41
_05218_,190.4
_05377_,190.36
_00007_,190.285
_05562_,190.27
register_file.registerFile\[7\]\[6\],189.86
_08233_,189.65
_06978_,189.035
_08217_,188.81
_07165_,188.54
_03931_,188.52
_03691_,188.375
_02409_,187.97
_05202_,187.77
_05797_,187.52
_07748_,187.5
_08457_,186.82
_03839_,186.74
_02394_,186.64
_06451_,186.16
_06234_,185.78
_08257_,185.56
_04587_,185.16
_07697_,185.06
_07718_,185.05
_08407_,184.94
_05427_,184.685
_04318_,184.62
net22,184.6
_08385_,184.27
_05216_,184.21
_03754_,184.19
_07549_,184.03
_06329_,183.965
ex_mem_pipe_reg.Rd_Data_Out_PR\[8\],183.7
_07720_,183.54
_04680_,183.48
ex_mem_pipe_reg.Rd_Data_Out_PR\[14\],183.12
net24,183
alu_control.instr\[6\],182.96
_06485_,182.02
_08247_,181.78
_06888_,181.5
_07026_,181.04
_04140_,180.96
_05180_,180.84
_05404_,180.49
_07986_,180.38
_06035_,179.9
bht_lut.pc_from_ex\[7\],179.88
_03830_,179.76
_05493_,179.62
_06779_,179.565
_07552_,179.22
_02661_,179.06
_02671_,178.53
_06551_,178.52
_07729_,178.38
_08505_,177.98
_05185_,177.96
_06420_,177.84
_06052_,177.68
_06998_,177.68
_07999_,177.66
_06049_,177.63
_02237_,177.55
_02405_,176.98
_02372_,176.93
_04074_,176.88
_04618_,176.65
_04458_,176.4
_07276_,176.315
_00015_,176.155
_07790_,175.88
_06156_,175.765
_05715_,175.61
_06768_,175.425
_04080_,175
_06875_,174.96
_03988_,174.82
_05197_,174.76
_07118_,174.76
_04350_,174.4
_05321_,174.24
_06926_,174.06
_06844_,173.92
ex_mem_pipe_reg.Rd_Data_Out_PR\[0\],173.89
register_file.registerFile\[7\]\[8\],173.82
_06567_,173.67
_04094_,173.6
_05580_,173.57
_08311_,173.32
_06158_,173.28
_07982_,173
_02494_,172.91
_02447_,172.5
_06046_,172.46
_06894_,172.36
net55,172.2
_06466_,172.135
_00033_,171.6
_06159_,171.35
_06157_,171.34
_06987_,171.25
_02393_,171.16
_05193_,171.15
_06878_,171.14
_06730_,171.12
_06439_,170.12
_06064_,169.96
_04483_,169.6
_03912_,169.46
_06152_,169.445
_04776_,169.31
_04220_,168.765
_04277_,168.44
_04634_,168.18
_06151_,168.075
_06633_,168.02
_05879_,167.83
_06834_,167.76
_06853_,167.65
_08361_,167.42
_07758_,167.3
_07916_,167.3
_06337_,167.14
_07226_,166.8
_04026_,166.78
_02428_,166.64
_02913_,166.26
_06484_,166.06
_06153_,165.94
_07566_,165.34
_04205_,165.075
_04685_,165.03
clknet_5_27__leaf_clk,164.8
_07767_,164.66
_02403_,164.5
_03763_,164.15
_07036_,163.835
_07935_,163.82
_05734_,163.255
_04382_,163.21
_05302_,163.175
_06040_,163.1
_08130_,162.86
_05280_,162.38
register_file.registerFile\[7\]\[0\],162.3
_02912_,162.2
_05187_,162.06
_07564_,162
_03782_,161.85
_05203_,161.8
_03446_,161.36
_06876_,161.04
_02716_,160.94
_06423_,160.92
_02734_,160.875
_08487_,160.6
_06043_,160.495
_06062_,160.38
_03979_,159.87
_04045_,159.82
alu_control.instr\[7\],159.77
_07958_,159.76
_07632_,159.65
_06523_,159.57
_02698_,159.56
_06563_,159.04
_03353_,158.87
_06150_,158.85
_07926_,158.66
_03355_,158.62
_03792_,158.25
_03590_,158.02
_06490_,157.84
_03744_,157.73
_06863_,157.66
_05714_,157.64
_07159_,157.535
_04772_,157.48
_08439_,157.28
_04185_,156.86
_04415_,156.72
_07708_,156.68
_07994_,156.64
_07315_,156.61
_05227_,156.54
_07068_,156.13
_03601_,156.12
_04735_,156.08
_05425_,155.82
_02777_,155.75
_07973_,155.72
_04084_,155.69
_04283_,155.57
_02510_,155.51
_07878_,155.38
net98,155.38
_07569_,155.1
_06511_,155.06
_06607_,154.88
_04534_,154.87
_08052_,154.83
_04799_,154.78
_06702_,154.62
_05579_,154.34
_07777_,154.215
_06514_,154.04
_04211_,153.95
_00002_,153.605
_06080_,153.38
_06907_,153.1
_07045_,153.04
_06149_,153
_02707_,152.98
_08478_,152.8
_05677_,152.7
_03941_,152.62
_05596_,152.59
_06708_,152.48
_07907_,152.345
_03276_,152.2
_05538_,152.17
_02475_,152.08
_05920_,152.08
clknet_leaf_147_clk,152
_05234_,151.6
_08405_,151.25
_05274_,151.22
_06060_,151.2
_06574_,151.14
_07562_,151.12
_02207_,150.78
_07157_,150.52
_00006_,150.345
_06038_,150.05
_06334_,149.94
_05532_,149.58
_06558_,149.52
_05408_,149.48
net585,149.42
_04146_,149.4
_00003_,149.36
_07985_,149.22
mem_wb_pipeline_reg.Rd_Data_Out_PR\[13\],149.09
_02689_,149.085
_02381_,149.01
_07980_,148.67
_04486_,148.49
net573,148.44
clknet_leaf_201_clk,148.42
_05359_,148.39
_04201_,148.3
_04594_,148.28
_07821_,148.26
_02186_,148.17
_07831_,148.135
_05994_,148.08
_08308_,148.08
_07158_,148.07
_07987_,147.775
_07208_,147.71
_05378_,147.67
_04036_,147.64
_08078_,147.54
_04104_,147.485
_06643_,147.2
_06299_,147.15
_07007_,147.06
_06056_,146.96
_06687_,146.9
_07483_,146.57
_07620_,146.5
_07229_,146.19
_07840_,146.18
_07711_,146.14
_05642_,146.06
_07978_,146.06
_02352_,146.04
_05738_,145.8
_05591_,145.685
bht_lut.pc_from_id\[1\],145.5
_02466_,145.46
net61,145.4
_07586_,145.28
_08359_,145.18
ex_mem_pipe_reg.Rd_Data_Out_PR\[5\],144.96
_04270_,144.915
_03516_,144.8
bht_lut.pc_from_id\[0\],144.76
_06572_,144.74
_03922_,144.73
_06544_,144.635
_03320_,144.545
_06566_,144.49
_06312_,144.48
_07888_,144.42
_04385_,144.28
_04426_,144.24
_06546_,144.01
_06512_,144
_08006_,143.92
net34,143.92
_07988_,143.77
_07187_,143.7
_05701_,143.68
_02530_,143.67
_06482_,143.66
_07199_,143.2
_03368_,143.195
_06609_,143.18
_04787_,143.06
_05961_,143.05
_07979_,143
_06163_,142.87
_07169_,142.62
_06568_,142.44
_04744_,142.38
_07614_,142.34
_08163_,142.265
_04709_,142.25
_04017_,142.16
ex_mem_pipe_reg.Rd_Data_Out_PR\[1\],142.12
_04738_,142.08
_07234_,141.96
_04493_,141.9
_05674_,141.78
_02680_,141.59
_02503_,141.54
_07984_,141.425
clknet_leaf_152_clk,141.24
_06002_,141.16
_06801_,141.08
_06345_,141
_05297_,140.96
_05497_,140.84
_08004_,140.825
_08437_,140.8
_03700_,140.55
_05299_,140.46
bht_lut.pc_from_id\[6\],140.38
_04148_,140.24
_06457_,140.24
ex_mem_pipe_reg.Rd_Data_Out_PR\[13\],140.22
_04007_,140.16
_05743_,140.1
_07167_,139.9
_07152_,139.78
_04795_,139.74
_07109_,139.675
_06825_,139.5
