net,length_um
_06193_,233.635
_03196_,233.62
_03173_,233.53
_03446_,232.78
_05677_,232.565
_05455_,232.205
_03246_,231.815
_06195_,230.54
_02838_,229.9
_04953_,229.9
_01728_,229.24
_04941_,226.96
_03096_,226.39
_02854_,225.68
_02984_,225.66
_05368_,225.62
_02817_,224.06
_04928_,223.35
_05460_,222.89
_03762_,222.8
_05724_,222.24
_06500_,222.23
_04929_,222.22
ex_mm_reg.ALU_Result_Out\[0\],222.13
_05417_,220.515
_01684_,220.3
_02927_,219.78
_03002_,219.14
_01712_,218.99
_05211_,218.88
_06518_,218.85
_06389_,218.18
_05371_,217.81
_03012_,217.32
_04940_,217.05
_02988_,216.19
_06428_,215.98
_06699_,215.74
_02975_,215.58
_06573_,215.35
_06536_,214.845
_06098_,214.39
_04734_,213.825
_04054_,213.48
rr_ex_reg.instr_out\[4\],213.315
_06053_,213.27
_01822_,213.06
_06065_,212.9
_03362_,212.76
_02824_,212.56
_02982_,212.02
_05586_,211.88
_05469_,211.62
_02452_,211.455
_02825_,211.27
_02959_,210.59
_05558_,210.57
_03345_,209.94
net60,209.72
_06482_,209.1
_05380_,208.52
_05440_,208.34
_03437_,208.21
_01882_,208.17
_06555_,208.08
_05730_,207.96
_01706_,207.66
_02856_,206.8
_05468_,206.06
_03202_,205.75
_06387_,205.68
_05585_,205.19
_03026_,204.365
_06410_,204.35
_03306_,203.75
_05419_,203.44
_02852_,203.34
_05439_,203.32
_05348_,203.18
_01877_,202.4
_04678_,202.21
_04885_,202.04
_04531_,201.64
clknet_4_1__leaf_clk,201.33
net109,201.2
_01726_,200.355
_06663_,197.47
_04111_,197.14
_04003_,196.63
_05825_,196.4
_05214_,195.7
_03206_,195.05
_06283_,194.715
_05376_,194.04
_04447_,193.94
_03519_,192.86
_03349_,192.3
_03517_,192.22
_04109_,192.19
_00002_,192.06
_02848_,191.93
_03604_,191.85
_02858_,191.16
_06446_,190.7
_06609_,190.61
_03080_,190.25
_04467_,190.185
_02773_,189.7
_04445_,189.7
_03971_,189.49
_06264_,189.42
_02794_,189.16
_06591_,188.64
_05426_,187.83
_02736_,187.81
_02874_,187.32
_02831_,187.13
_06036_,186.57
_02926_,186.37
_02885_,186.28
_03294_,186.26
_04497_,186.08
_04660_,183.76
_02969_,183.61
_06062_,183.54
_06075_,183.33
_04349_,182.84
_03477_,182.32
_06372_,181.38
net17,181.3
_06374_,180.5
_05373_,180.32
net3,180.24
_04498_,180.08
_04104_,179.86
_04569_,179.75
_05346_,179.42
_05679_,179.13
_05843_,179.02
ex_mm_reg.ALU_Result_Out\[4\],178.57
_02846_,178.56
_06627_,178.15
_04847_,177.92
_02981_,177.66
_06368_,177.52
_06380_,177.015
_06060_,176.88
_02844_,176.78
_02083_,176.59
_03008_,176.58
_01791_,176.34
_04866_,175.78
_03241_,175.56
_05364_,175.54
_03118_,175.015
_04937_,174.81
_03144_,174.52
ex_mm_reg.ALU_Result_Out\[5\],174.24
_04752_,174.135
_06681_,173.59
rr_ex_reg.instr_out\[2\],173.525
_04716_,172.735
_03480_,172.63
_03572_,172.6
_02850_,172.36
_06337_,172.34
_02865_,172.08
_02892_,171.99
_03932_,171.66
net78,171.32
_04112_,171.255
_06321_,170.96
_03610_,170.82
_03966_,170.66
_06384_,170.58
_02842_,170.04
_04829_,169.73
_01843_,169.47
_04451_,169.3
rr_ex_reg.instr_out\[3\],168.735
_04770_,168.7
_02978_,168.38
_04996_,168.335
_04110_,168.13
_06376_,167.68
_04550_,167.2
_03373_,166.025
_02958_,164.99
_04789_,164.83
net22,164.54
_04318_,164.42
_04587_,163.745
_02680_,163.06
_05206_,163.055
_05710_,162.98
_02296_,162.6
_04105_,162.18
_02836_,161.94
_06717_,161.75
_06382_,161.54
_06645_,161.48
_01753_,161.22
_05386_,161.14
_02832_,160.8
net43,160.74
_03158_,159.84
_04461_,159.6
_05883_,159.18
_06391_,159.06
_04477_,159
_05399_,158.7
_05420_,158.69
_03768_,158.49
_05392_,158.42
_03347_,158.39
_04093_,157.9
_05711_,157.71
_04697_,157.42
_05011_,157.36
_03132_,157.24
_06360_,157.22
net89,156.98
_03079_,156.63
net56,156.58
_03444_,156.51
_03155_,156.08
_05680_,155.5
net107,154.88
_02840_,154.54
_01802_,153.74
net104,153.66
_02971_,152.94
_06208_,152.605
_03147_,150.82
_05108_,150.38
_03335_,150.03
_03059_,150.02
_06326_,149.5
_06464_,149.125
rr_ex_reg.instr_out\[0\],147.82
_06363_,147.3
_03370_,147.24
net100,146.93
_03005_,146.84
_04439_,146.8
_03346_,145.94
_04605_,144.94
_03210_,144.525
_01098_,144.52
rr_ex_reg.instr_out\[1\],144.47
_03605_,144.36
_06365_,144.12
_00001_,144.07
_03608_,143.98
_05543_,143.76
rr_ex_reg.pc_next_out\[6\],143.55
_03140_,143.45
_04116_,143.43
_05869_,143.18
_05273_,142.68
net88,142.66
_04476_,142.6
_02732_,142.39
_06341_,142.32
_06301_,141.915
_04158_,141.71
_03298_,141.49
rr_ex_reg.pc_next_out\[7\],141.18
clknet_leaf_32_clk,141.18
rr_ex_reg.pc_next_out\[8\],140.47
net87,139.83
_05671_,139.79
_05418_,139.63
clknet_leaf_128_clk,139.38
_03573_,139.34
_03761_,139.17
net106,137.81
_02368_,137.66
_04441_,137.6
_02866_,137.5
_06319_,137.33
_04642_,137.16
_04952_,137.07
clknet_leaf_35_clk,136.72
_06378_,136.57
_03279_,136.34
_04884_,136.26
_03969_,136.075
ex_mm_reg.ALU_Result_Out\[2\],135.72
_02763_,134.795
_03436_,134.79
_03728_,133.375
_03128_,132.94
_01778_,132.93
clknet_3_2_0_clk,132.4
_01783_,132.08
_03271_,131.945
_02812_,131.86
_04927_,131.85
_02860_,131.47
clknet_leaf_92_clk,131.46
_05684_,131.05
_05001_,130.54
clknet_leaf_19_clk,130.26
_03263_,129.67
_02203_,127.9
_03299_,127.86
_05696_,127.81
_03441_,127.8
_04080_,127.39
_03929_,127.3
_03121_,126.46
clknet_leaf_85_clk,126.36
_05575_,125.9
_03126_,125.5
_05481_,124.84
rr_ex_reg.pc_next_out\[11\],124.66
clknet_leaf_118_clk,124.6
_03965_,124.1
rr_ex_reg.pc_next_out\[9\],123.48
_02828_,123.02
_05074_,122.35
_03877_,122.34
clknet_leaf_69_clk,122
net113,121.57
_04107_,121.34
_04083_,120.71
_01649_,120.69
clknet_leaf_3_clk,120.64
_06018_,120.53
_04188_,120.47
rr_ex_reg.pc_next_out\[5\],120.36
_03164_,120.35
clknet_leaf_119_clk,120.12
_05077_,119.99
_04102_,119.89
